ID,Number,Date,Start time,End time,Duration,rel. Duration,Salary,rel. Salary,Project ID,Project,Employer/Client,Description,Location,Feeling,Billable,Paid,Type,Tags,Breaks,Breaks Description,Notes
ecf2abdd17d64df7aaaa113695c57117,1,2/11/16,9:00 AM,9:58 AM,00:58:00,00:24:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,Read intro and half of getting feet wet in Web Development with Clojure 2nd edition beta.,,-,Yes,No,Task,,00:34:00,9:08 – 9:42 AM,
e563884346e848328b6757d535f4be0e,2,2/11/16,4:31 PM,4:45 PM,00:14:00,00:14:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,Read some of web development with clojure.,"456 Lafayette Ave SE, Grand Rapids, MI 49503",-,Yes,No,Task,,00:00:00,,
a4b07a067b004b799c86fd1f707beb55,3,2/12/16,12:30 AM,12:49 AM,00:19:00,00:19:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,Read some web development with clojure second edition,,-,Yes,No,Task,,00:00:00,,
619501cc5ca244f79aa9fd7d0125fd7f,4,2/12/16,11:50 AM,12:03 PM,00:13:00,00:13:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,Read some of web development with clojure.,,-,Yes,No,Task,,00:00:00,,
789b95a8d3724d7d89d95d0b947cb8b0,5,2/14/16,4:44 PM,4:54 PM,00:10:00,00:10:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,"Read some web development with culture.
",,-,Yes,No,Task,,00:00:00,,
15b0544dc2fa4043b2b52ac49072da6a,6,2/15/16,9:00 PM,9:33 PM,00:33:00,00:33:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,Read some of web development in clojure.,,-,Yes,No,Task,,00:00:00,,
e2ab59fd219345508b0986ac3140116f,7,2/16/16,12:48 PM,2:16 PM,01:28:00,01:28:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,Worked through ring/compojure chapters in web development with clojure.,,-,Yes,No,Task,,00:00:00,,
535a9de02e6d4dc58973381aba95bcb0,8,2/16/16,5:56 PM,7:29 PM,01:33:00,01:33:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,"Worked through templating and started reading clojurescript, in web development with clojure.",,-,Yes,No,Task,,00:00:00,,
87d4b2c00edb482e93da9c4147cea71e,9,2/16/16,10:11 PM,10:53 PM,00:42:00,00:42:00,0,0,c56a689e67da44b79b410936e0bad9fa,Dev Skills,,Attempted clojurescript hello world from web development with clojure.,,-,Yes,No,Task,,00:00:00,,
94d6408abc614db7a458e0aad44c96e3,1,2/18/16,2:53 PM,5:55 PM,03:02:00,03:02:00,0,0,a69e59503d0b4560a4f0e7601d9520c0,Demo Website,,"Started a new demo project with luminus.   Wrote a middleware function to write visits to db. Set up dev, test, production db with postgres.",,-,Yes,No,Task,,00:00:00,,
107487136f8c43b9b63335a4ac69b3c7,2,2/18/16,10:36 PM,11:21 PM,00:45:00,00:45:00,0,0,a69e59503d0b4560a4f0e7601d9520c0,Demo Website,,Migrated tables and developed visit logging middleware.,,-,Yes,No,Task,,00:00:00,,
76b389b8e8054ce8bff8e5efb5cc9cff,3,2/19/16,11:15 AM,12:59 PM,01:44:00,01:44:00,0,0,a69e59503d0b4560a4f0e7601d9520c0,Demo Website,,Set up production febdemo on droplet and nginx front.,,-,Yes,No,Task,,00:00:00,,
